comp,time,gpu_util,cpu_util,gpu_mem,main_mem
DATA,17.517126480738323,0.01,0.13,0.156,0.7373333333333335
TRAIN,41.05381202697754,0.93,0.69,0.23700000000000002,0.8276666666666667
POST,0.2845718065897624,0.08,0.03,0.164,0.8323333333333333
