time,val_gpu_util,val_cpu_util,val_gpu_mem,val_main_mem
0.07180595397949219,0.78,0.78,0.4,0.8390000000000001
0.07579612731933594,0.78,0.78,0.305,0.84
0.07579708099365234,0.78,0.78,0.27699999999999997,0.8390000000000001
0.07579636573791504,0.78,0.78,0.35600000000000004,0.8390000000000001
0.0747983455657959,0.78,0.78,0.315,0.8390000000000001
0.3869645595550537,0.78,0.78,0.198,0.84
0.071807861328125,0.71,0.71,0.475,0.843
0.0718069076538086,0.71,0.71,0.322,0.843
0.07579612731933594,0.71,0.71,0.307,0.843
0.07579684257507324,0.71,0.71,0.332,0.8420000000000001
0.07779145240783691,0.71,0.71,0.28,0.8420000000000001
0.061834096908569336,0.71,0.71,0.23399999999999999,0.8420000000000001
0.07380247116088867,0.39,0.39,0.475,0.843
0.0747976303100586,0.39,0.39,0.293,0.843
0.07579755783081055,0.39,0.39,0.32,0.843
0.07878875732421875,0.39,0.39,0.278,0.8420000000000001
0.07679390907287598,0.39,0.39,0.33899999999999997,0.8420000000000001
0.0718076229095459,0.39,0.39,0.24600000000000002,0.8420000000000001
0.0718069076538086,0.38,0.38,0.55,0.8420000000000001
0.0718069076538086,0.38,0.38,0.304,0.8420000000000001
0.0747992992401123,0.38,0.38,0.32799999999999996,0.843
0.07579708099365234,0.38,0.38,0.305,0.8420000000000001
0.07579660415649414,0.38,0.38,0.331,0.8420000000000001
0.0688161849975586,0.38,0.38,0.306,0.8420000000000001
0.08377575874328613,0.66,0.66,0.55,0.8440000000000001
0.07878947257995605,0.66,0.66,0.305,0.8420000000000001
0.07779192924499512,0.66,0.66,0.27,0.8420000000000001
0.07978653907775879,0.66,0.66,0.292,0.8420000000000001
0.07579588890075684,0.66,0.66,0.261,0.8420000000000001
0.0608372688293457,0.66,0.66,0.27399999999999997,0.8420000000000001
