comp,time,gpu_util,cpu_util,gpu_mem,main_mem
DATA,17.554027318954468,0.01,0.13,0.16399999999999998,0.765
TRAIN,39.98799753189087,0.86,0.64,0.594,0.851
POST,0.7769210338592529,0.05,0.03,0.24100000000000002,0.857
