comp,time,gpu_util,cpu_util,gpu_mem,main_mem
DATA,16.91519069671631,0.0,0.13,0.14833333333333332,0.755
TRAIN,38.65368707974752,0.8066666666666666,0.47666666666666674,0.6456666666666667,0.8666666666666667
POST,0.7247416973114014,0.03,0.02,0.20033333333333334,0.8703333333333334
