comp,time,gpu_util,cpu_util,gpu_mem,main_mem
DATA,33.80063438415527,0.0,0.01,0.153,0.701
TRAIN,25.98314380645752,0.69,0.13,0.5,0.804
POST,0.9694089889526367,0.04,0.02,0.179,0.805
