time,val_gpu_util,val_cpu_util,val_gpu_mem,val_main_mem
0.07379961013793945,0.4,0.4,0.5,0.857
0.09673905372619629,0.4,0.4,0.302,0.857
0.07679438591003418,0.4,0.4,0.303,0.857
0.07579421997070312,0.4,0.4,0.322,0.857
0.0747990608215332,0.4,0.4,0.36,0.857
0.3809802532196045,0.4,0.4,0.188,0.857
0.07180666923522949,0.69,0.69,0.4,0.86
0.07679438591003418,0.69,0.69,0.33,0.86
0.07280445098876953,0.69,0.69,0.284,0.86
0.07679462432861328,0.69,0.69,0.28800000000000003,0.8590000000000001
0.07579493522644043,0.69,0.69,0.27899999999999997,0.8590000000000001
0.06881594657897949,0.69,0.69,0.266,0.86
0.07479977607727051,0.76,0.76,0.425,0.86
0.0827794075012207,0.76,0.76,0.295,0.8590000000000001
0.07579660415649414,0.76,0.76,0.35,0.8590000000000001
0.07579612731933594,0.76,0.76,0.29600000000000004,0.8590000000000001
0.07579565048217773,0.76,0.76,0.324,0.8590000000000001
0.0578455924987793,0.76,0.76,0.261,0.8590000000000001
0.07080984115600586,0.68,0.68,0.525,0.86
0.07679414749145508,0.68,0.68,0.314,0.8590000000000001
0.07180571556091309,0.68,0.68,0.349,0.8590000000000001
0.07280516624450684,0.68,0.68,0.319,0.8590000000000001
0.07380247116088867,0.68,0.68,0.34,0.8590000000000001
0.07280540466308594,0.68,0.68,0.27699999999999997,0.858
0.06981325149536133,0.72,0.72,0.525,0.8640000000000001
0.07280516624450684,0.72,0.72,0.32,0.863
0.07779264450073242,0.72,0.72,0.276,0.865
0.07280492782592773,0.72,0.72,0.289,0.8640000000000001
0.07280468940734863,0.72,0.72,0.301,0.8640000000000001
0.06781792640686035,0.72,0.72,0.289,0.8640000000000001
