comp,time,gpu_util,cpu_util,gpu_mem,main_mem
DATA,17.53308367729187,0.01,0.13,0.14,0.765
TRAIN,40.14657211303711,0.99,0.67,0.7190000000000001,0.863
POST,0.7559773921966553,0.05,0.02,0.146,0.867
