time,train_gpu_util,train_cpu_util,train_gpu_mem,train_main_mem
3.5016298294067383,0.92,0.63,0.156,0.86
0.15957307815551758,0.2,0.55,0.38299999999999995,0.86
0.15358829498291016,0.83,0.59,0.485,0.86
0.1515941619873047,0.98,0.55,0.414,0.86
0.15358924865722656,0.97,0.71,0.475,0.86
0.1984691619873047,0.91,0.64,0.47700000000000004,0.86
0.14760470390319824,0.37,0.26,0.355,0.86
0.15558242797851562,0.91,0.62,0.504,0.86
0.14959979057312012,0.89,0.62,0.442,0.861
0.15159344673156738,0.99,0.53,0.523,0.86
0.1545867919921875,0.86,0.64,0.442,0.86
0.14460992813110352,0.99,0.64,0.442,0.86
0.14760518074035645,0.95,0.72,0.479,0.861
0.15259122848510742,0.88,0.56,0.469,0.86
0.16356348991394043,0.91,0.64,0.504,0.86
1.4800395965576172,0.9,0.7,0.09699999999999999,0.86
0.1515951156616211,0.04,0.03,0.28800000000000003,0.865
0.1515944004058838,0.89,0.66,0.45299999999999996,0.865
0.15059757232666016,0.98,0.64,0.45,0.865
0.15957236289978027,0.82,0.58,0.456,0.865
0.1575767993927002,0.93,0.62,0.537,0.865
0.1685492992401123,0.99,0.58,0.457,0.865
0.15558338165283203,0.69,0.51,0.382,0.865
0.1685483455657959,0.83,0.58,0.5,0.865
0.15358901023864746,0.86,0.57,0.433,0.865
0.15658116340637207,0.79,0.56,0.41200000000000003,0.8640000000000001
0.15358853340148926,0.77,0.49,0.40399999999999997,0.8640000000000001
0.14760375022888184,0.9,0.67,0.442,0.8640000000000001
0.15159320831298828,0.8,0.51,0.47100000000000003,0.8640000000000001
0.15658116340637207,0.87,0.63,0.457,0.8640000000000001
0.14760351181030273,0.91,0.6,0.433,0.8640000000000001
0.12566375732421875,0.99,0.68,0.534,0.8640000000000001
0.15658068656921387,0.65,0.47,0.318,0.865
0.15857529640197754,0.92,0.61,0.47700000000000004,0.865
0.20644783973693848,0.99,0.63,0.45799999999999996,0.865
0.14760422706604004,0.51,0.38,0.321,0.865
0.1515941619873047,0.89,0.64,0.43799999999999994,0.865
0.15059542655944824,0.94,0.51,0.47200000000000003,0.865
0.157578706741333,0.9,0.69,0.475,0.865
0.1685481071472168,0.95,0.48,0.41700000000000004,0.865
0.14959979057312012,0.75,0.54,0.406,0.865
0.15558409690856934,0.99,0.56,0.5,0.8640000000000001
0.14860224723815918,0.81,0.59,0.42200000000000004,0.8640000000000001
0.15358901023864746,0.99,0.55,0.49200000000000005,0.8640000000000001
0.15259099006652832,0.96,0.71,0.5920000000000001,0.8640000000000001
0.15658068656921387,0.97,0.63,0.49200000000000005,0.8640000000000001
0.14760565757751465,0.69,0.5,0.401,0.863
0.10970735549926758,0.98,0.68,0.562,0.8640000000000001
0.1795189380645752,0.43,0.3,0.33799999999999997,0.865
0.15259099006652832,0.95,0.55,0.5489999999999999,0.865
0.15558409690856934,0.91,0.67,0.523,0.865
0.1605696678161621,0.98,0.67,0.57,0.865
0.15558338165283203,0.8,0.58,0.535,0.865
0.14261794090270996,0.83,0.52,0.49200000000000005,0.865
0.15857601165771484,0.83,0.63,0.48200000000000004,0.865
0.16954565048217773,0.87,0.61,0.47100000000000003,0.865
0.15857577323913574,0.69,0.49,0.431,0.866
0.15857577323913574,0.74,0.47,0.442,0.865
0.15259146690368652,0.83,0.61,0.473,0.865
0.15658020973205566,0.99,0.54,0.445,0.865
0.14860153198242188,0.72,0.53,0.397,0.865
0.1685490608215332,0.99,0.6,0.474,0.865
0.1575779914855957,0.72,0.54,0.457,0.865
0.14162039756774902,0.99,0.66,0.5,0.865
0.16755223274230957,0.05,0.49,0.307,0.866
0.1515946388244629,0.82,0.59,0.42200000000000004,0.866
0.1575782299041748,0.81,0.55,0.485,0.866
0.15658092498779297,0.89,0.6,0.484,0.866
0.1495988368988037,0.99,0.55,0.442,0.865
0.15059757232666016,0.93,0.66,0.433,0.865
0.15558314323425293,0.99,0.5,0.441,0.865
0.15259122848510742,0.91,0.66,0.488,0.865
0.14461302757263184,0.99,0.65,0.446,0.865
0.1545858383178711,0.92,0.68,0.512,0.865
0.14660859107971191,0.97,0.63,0.5,0.865
0.16057038307189941,0.84,0.59,0.537,0.8640000000000001
0.1436154842376709,0.94,0.61,0.54,0.8640000000000001
0.15658044815063477,0.99,0.59,0.523,0.8640000000000001
0.1466054916381836,0.88,0.64,0.525,0.8640000000000001
0.14760541915893555,0.99,0.67,0.545,0.863
