time,train_gpu_util,train_cpu_util,train_gpu_mem,train_main_mem
3.4660580158233643,0.93,0.6066666666666666,0.14100000000000001,0.8456666666666667
0.16190052032470698,0.22333333333333336,0.31,0.389,0.846
0.1522591908772786,0.8799999999999999,0.6233333333333334,0.4453333333333333,0.8463333333333333
0.15757838884989414,0.9133333333333334,0.62,0.4613333333333333,0.8463333333333333
0.15026410420735672,0.9400000000000001,0.6933333333333334,0.4566666666666667,0.846
0.15259138743082676,0.8966666666666666,0.6166666666666667,0.4923333333333333,0.846
0.15392128626505527,0.85,0.6233333333333332,0.5319999999999999,0.8453333333333334
0.15259154637654618,0.8533333333333332,0.6033333333333333,0.5656666666666667,0.8433333333333333
0.15491803487141922,0.86,0.6366666666666667,0.5326666666666666,0.8426666666666667
0.15458639462788895,0.8766666666666666,0.6166666666666667,0.5453333333333333,0.8413333333333334
0.15292406082153318,0.9066666666666666,0.6133333333333334,0.49933333333333335,0.8413333333333334
0.15159400304158527,0.8933333333333334,0.6433333333333334,0.47833333333333333,0.8413333333333334
0.15225911140441892,0.84,0.5166666666666666,0.441,0.8413333333333334
0.153921365737915,0.8866666666666667,0.63,0.4996666666666667,0.8413333333333334
0.15159463882446284,0.9266666666666667,0.6466666666666666,0.5036666666666667,0.8410000000000001
1.3400808175404866,0.9133333333333332,0.7333333333333334,0.19199999999999998,0.8423333333333334
0.155583381652832,0.19333333333333336,0.12666666666666668,0.308,0.8463333333333333
0.16090170542399088,0.8866666666666667,0.6166666666666667,0.48700000000000004,0.8466666666666667
0.1512618064880371,0.8633333333333333,0.5733333333333334,0.4366666666666666,0.8463333333333333
0.1525914669036865,0.8866666666666666,0.6266666666666666,0.439,0.8463333333333333
0.14660700162251786,0.9033333333333333,0.58,0.4466666666666667,0.8463333333333333
0.15757799148559568,0.8666666666666667,0.5833333333333334,0.5526666666666666,0.8460000000000001
0.15126101175944004,0.8466666666666667,0.5833333333333334,0.4473333333333333,0.8456666666666667
0.14793682098388672,0.9266666666666667,0.61,0.4669999999999999,0.8456666666666667
0.15624841054280597,0.87,0.6233333333333334,0.4503333333333333,0.8456666666666667
0.14959979057312012,0.8099999999999999,0.5366666666666667,0.431,0.8456666666666667
0.1479369004567464,0.8999999999999999,0.6433333333333334,0.4506666666666666,0.8456666666666667
0.1565805276234944,0.8233333333333334,0.5733333333333334,0.4746666666666666,0.8456666666666667
0.15026473999023435,0.9,0.5933333333333334,0.449,0.8456666666666667
0.1522594292958577,0.8166666666666668,0.61,0.482,0.8456666666666667
0.15791034698486328,0.89,0.58,0.49433333333333335,0.8450000000000001
0.14361548423767087,0.9333333333333332,0.6966666666666667,0.5263333333333333,0.8450000000000001
0.16123493512471518,0.44333333333333336,0.3333333333333333,0.299,0.8463333333333333
0.15059685707092282,0.96,0.66,0.4566666666666667,0.8463333333333333
0.15325649579366046,0.8633333333333333,0.6533333333333333,0.4623333333333333,0.8463333333333333
0.15624801317850745,0.9533333333333335,0.66,0.5446666666666666,0.8466666666666667
0.15824294090270993,0.9333333333333335,0.6566666666666666,0.47900000000000004,0.8460000000000001
0.15159416198730466,0.87,0.6066666666666666,0.4656666666666666,0.8463333333333333
0.14860153198242182,0.8933333333333332,0.5800000000000001,0.5036666666666667,0.8460000000000001
0.15491819381713864,0.8833333333333334,0.6366666666666666,0.5179999999999999,0.8460000000000001
0.1569129625956217,0.8766666666666666,0.62,0.4693333333333334,0.8456666666666667
0.16223176320393876,0.8033333333333333,0.5666666666666667,0.4749999999999999,0.8456666666666667
0.1569132010142008,0.8999999999999999,0.6366666666666667,0.49099999999999994,0.8456666666666667
0.15092929204305008,0.8833333333333333,0.6299999999999999,0.4903333333333333,0.8453333333333334
0.15425340334574378,0.8833333333333333,0.6033333333333334,0.46866666666666673,0.8453333333333334
0.1522581577301025,0.9466666666666667,0.6366666666666667,0.48666666666666664,0.8453333333333334
0.1489346822102864,0.9233333333333333,0.6666666666666666,0.476,0.8453333333333334
0.13497177759806314,0.9866666666666667,0.6966666666666667,0.5323333333333333,0.8450000000000001
0.17287023862202955,0.48,0.5233333333333333,0.35333333333333333,0.846
0.1572457949320475,0.8233333333333334,0.5966666666666667,0.45766666666666667,0.8453333333333334
0.15525158246358234,0.9233333333333332,0.6566666666666667,0.46866666666666673,0.8456666666666667
0.18882791201273597,0.8166666666666665,0.64,0.4586666666666666,0.846
0.14826981226603186,0.63,0.47333333333333333,0.4183333333333333,0.846
0.15558298428853348,0.8633333333333333,0.56,0.49766666666666665,0.8456666666666667
