comp,time,gpu_util,cpu_util,gpu_mem,main_mem
DATA,33.80853271484375,0.0,0.0,0.145,0.7170000000000001
TRAIN,25.040993452072144,0.48,0.09,0.562,0.8190000000000001
POST,0.9963340759277344,0.0,0.0,0.19699999999999998,0.821
