time,val_gpu_util,val_cpu_util,val_gpu_mem,val_main_mem
0.10372281074523926,0.69,0.69,0.429,0.8240000000000001
0.10870909690856934,0.69,0.69,0.289,0.8240000000000001
0.0937490463256836,0.69,0.69,0.301,0.8240000000000001
0.09275078773498535,0.69,0.69,0.34700000000000003,0.8240000000000001
0.09175348281860352,0.69,0.69,0.305,0.8240000000000001
0.39394545555114746,0.69,0.69,0.16699999999999998,0.8240000000000001
0.10272502899169922,0.72,0.72,0.5,0.828
0.10272502899169922,0.72,0.72,0.292,0.828
0.10571718215942383,0.72,0.72,0.292,0.8270000000000001
0.09175419807434082,0.72,0.72,0.32299999999999995,0.8270000000000001
0.0997323989868164,0.72,0.72,0.326,0.8270000000000001
0.06981325149536133,0.72,0.72,0.243,0.8270000000000001
0.10571646690368652,0.5,0.5,0.562,0.8290000000000001
0.09773731231689453,0.5,0.5,0.289,0.828
0.10970616340637207,0.5,0.5,0.305,0.828
0.09873414039611816,0.5,0.5,0.28800000000000003,0.828
0.09574341773986816,0.5,0.5,0.289,0.828
0.06582427024841309,0.5,0.5,0.242,0.828
0.11768460273742676,0.65,0.65,0.7859999999999999,0.83
0.10172796249389648,0.65,0.65,0.33299999999999996,0.8290000000000001
0.09175348281860352,0.65,0.65,0.312,0.83
0.10172843933105469,0.65,0.65,0.28,0.8290000000000001
0.08975958824157715,0.65,0.65,0.309,0.8290000000000001
0.06682133674621582,0.65,0.65,0.225,0.8290000000000001
0.10970568656921387,0.73,0.73,0.5,0.828
0.10571718215942383,0.73,0.73,0.335,0.828
0.09474587440490723,0.73,0.73,0.309,0.828
0.09374833106994629,0.73,0.73,0.374,0.828
0.0967402458190918,0.73,0.73,0.319,0.8270000000000001
0.06582379341125488,0.73,0.73,0.23399999999999999,0.828
