time,train_gpu_util,train_cpu_util,train_gpu_mem,train_main_mem
3.7389943599700928,0.74,0.56,0.141,0.823
0.16954636573791504,0.72,0.51,0.523,0.823
0.23337507247924805,0.96,0.71,0.5329999999999999,0.8220000000000001
0.23636651039123535,0.99,0.68,0.45299999999999996,0.823
0.24534344673156738,0.96,0.74,0.43799999999999994,0.8220000000000001
0.2323770523071289,0.96,0.68,0.46299999999999997,0.823
0.2493305206298828,0.93,0.69,0.512,0.823
0.23138046264648438,0.95,0.68,0.433,0.823
0.23038148880004883,0.99,0.69,0.45,0.823
0.24933123588562012,0.96,0.73,0.42200000000000004,0.823
0.2513265609741211,0.99,0.67,0.7190000000000001,0.823
0.2293851375579834,0.95,0.72,0.8420000000000001,0.8220000000000001
0.2323770523071289,0.97,0.69,0.442,0.8220000000000001
0.23137998580932617,0.96,0.73,0.455,0.8220000000000001
0.23337459564208984,0.96,0.73,0.475,0.8220000000000001
1.2985246181488037,0.95,0.76,0.14300000000000002,0.8220000000000001
0.18051552772521973,0.63,0.43,0.33299999999999996,0.8270000000000001
0.23138070106506348,0.97,0.7,0.508,0.8270000000000001
0.23337554931640625,0.99,0.7,0.517,0.828
0.25032949447631836,0.97,0.71,0.45399999999999996,0.8270000000000001
0.23537015914916992,0.99,0.67,0.434,0.828
0.22739100456237793,0.95,0.72,0.455,0.8270000000000001
0.2483348846435547,0.95,0.67,0.488,0.828
0.23437237739562988,0.96,0.74,0.525,0.8270000000000001
0.23137998580932617,0.95,0.69,0.475,0.8270000000000001
0.2483351230621338,0.99,0.68,0.45,0.8270000000000001
0.2323777675628662,0.97,0.74,0.45,0.8270000000000001
0.23337459564208984,0.98,0.73,0.537,0.8270000000000001
0.2323780059814453,0.96,0.73,0.45,0.8270000000000001
0.2483353614807129,0.97,0.69,0.461,0.8270000000000001
0.2323777675628662,0.95,0.72,0.433,0.826
0.1874983310699463,0.96,0.71,0.6459999999999999,0.826
0.16156673431396484,0.49,0.34,0.33899999999999997,0.828
0.24933195114135742,0.99,0.69,0.469,0.828
0.24733829498291016,0.97,0.72,0.43799999999999994,0.828
0.2323775291442871,0.96,0.7,0.442,0.8270000000000001
0.24733638763427734,0.94,0.71,0.539,0.8270000000000001
0.23337459564208984,0.97,0.73,0.45799999999999996,0.828
0.2323758602142334,0.99,0.68,0.45799999999999996,0.8270000000000001
0.2323777675628662,0.97,0.73,0.529,0.8270000000000001
0.23137903213500977,0.98,0.71,0.483,0.8270000000000001
0.24933171272277832,0.95,0.73,0.445,0.826
0.2323765754699707,0.96,0.73,0.45,0.8270000000000001
0.2323770523071289,0.99,0.68,0.475,0.826
0.23138046264648438,0.97,0.7,0.45,0.8270000000000001
0.26329541206359863,0.99,0.69,0.47100000000000003,0.826
0.21941304206848145,0.96,0.72,0.46399999999999997,0.8270000000000001
0.18550395965576172,0.98,0.71,0.505,0.826
0.15857577323913574,0.41,0.29,0.324,0.828
0.25032973289489746,0.99,0.65,0.516,0.8290000000000001
0.24634051322937012,0.95,0.73,0.488,0.8290000000000001
0.2323770523071289,0.96,0.7,0.442,0.8290000000000001
0.24933075904846191,0.96,0.73,0.45299999999999996,0.828
0.21641993522644043,0.97,0.69,0.5,0.8290000000000001
0.24833440780639648,0.99,0.68,0.484,0.8290000000000001
0.2323768138885498,0.97,0.73,0.467,0.828
0.2323770523071289,0.99,0.71,0.475,0.828
0.24733757972717285,0.96,0.73,0.462,0.828
0.2353670597076416,0.97,0.72,0.55,0.828
0.26329493522644043,0.95,0.71,0.434,0.828
0.2154238224029541,0.97,0.7,0.455,0.8270000000000001
0.24833273887634277,0.96,0.69,0.45299999999999996,0.828
0.23437285423278809,0.97,0.72,0.46299999999999997,0.8270000000000001
0.18550324440002441,0.99,0.74,0.615,0.828
0.16954588890075684,0.05,0.61,0.353,0.83
0.24534201622009277,0.95,0.73,0.45299999999999996,0.83
0.2323760986328125,0.99,0.74,0.5,0.83
0.23038291931152344,0.94,0.74,0.5,0.83
0.24933218955993652,0.96,0.72,0.49200000000000005,0.831
0.24933290481567383,0.96,0.72,0.43799999999999994,0.83
0.21741795539855957,0.97,0.72,0.473,0.83
0.23536968231201172,0.99,0.68,0.445,0.83
0.24434328079223633,0.96,0.74,0.488,0.8290000000000001
0.23337531089782715,0.95,0.69,0.467,0.8290000000000001
0.24634027481079102,0.96,0.71,0.45299999999999996,0.8290000000000001
0.2463393211364746,0.97,0.71,0.43,0.828
0.25032925605773926,0.94,0.69,0.49200000000000005,0.828
0.21642017364501953,0.97,0.71,0.518,0.828
0.24833416938781738,0.99,0.71,0.484,0.8270000000000001
0.20345568656921387,0.96,0.69,0.529,0.828
