time,val_gpu_util,val_cpu_util,val_gpu_mem,val_main_mem,val_loss
0.06981325149536133,0.2,0.14,0.55,0.83,-0.03984032943844795
0.0723118782043457,0.07,0.07,0.359,0.831,-0.04165881127119064
0.07280516624450684,0.13,0.11,0.31,0.831,-0.04105975478887558
0.07380104064941406,0.02,0.03,0.287,0.831,-0.040396783500909805
0.44632482528686523,0.95,0.65,0.256,0.831,-0.04125865176320076
0.08377552032470703,0.45,0.33,0.525,0.8340000000000001,-0.044140588492155075
0.07430839538574219,0.0,0.01,0.345,0.833,-0.05808296427130699
0.07530546188354492,0.11,0.1,0.292,0.8320000000000001,-0.06108485162258148
0.07480025291442871,0.09,0.08,0.326,0.833,-0.059603653848171234
0.05983996391296387,0.0,0.08,0.278,0.8320000000000001,-0.04952419921755791
0.07080960273742676,0.45,0.32,0.625,0.833,-0.19577927887439728
0.0718080997467041,0.0,0.01,0.298,0.8320000000000001,-0.23596704006195068
0.07530379295349121,0.17,0.13,0.28600000000000003,0.833,-0.20739521086215973
0.0723116397857666,0.0,0.16,0.32299999999999995,0.8320000000000001,-0.2083948701620102
0.07280516624450684,0.0,0.08,0.306,0.833,-0.3421564996242523
0.0718073844909668,0.4,0.29,0.45,0.8320000000000001,-0.27891120314598083
0.09525084495544434,0.06,0.06,0.314,0.831,-0.26629799604415894
0.07430887222290039,0.07,0.07,0.266,0.831,-0.2854899764060974
0.07679414749145508,0.1,0.09,0.293,0.831,-0.2898358702659607
0.07280540466308594,0.1,0.08,0.292,0.831,-0.24413689970970154
0.07280540466308594,0.84,0.3,0.604,0.8320000000000001,-0.30941227078437805
0.0693199634552002,0.0,0.22,0.27899999999999997,0.8320000000000001,-0.3033588230609894
0.0747988224029541,0.0,0.27,0.304,0.8320000000000001,-0.3203262686729431
0.07480001449584961,0.0,0.01,0.301,0.8320000000000001,-0.31658706068992615
0.0688164234161377,0.0,0.01,0.282,0.8320000000000001,-0.3292568624019623
