comp,time,gpu_util,cpu_util,gpu_mem,main_mem
DATA,16.888081312179565,0.0,0.13,0.14800000000000002,0.769
TRAIN,39.60622763633728,0.74,0.56,0.525,0.867
POST,0.7345414161682129,0.03,0.02,0.2,0.871
