time,train_gpu_util,train_cpu_util,train_gpu_mem,train_main_mem,train_loss
3.638275146484375,0.88,0.62,0.136,0.802,-0.014372524805366993
0.17154145240783691,0.56,0.4,0.551,0.802,-0.01813257485628128
0.15358757972717285,0.96,0.67,0.43799999999999994,0.802,-0.025864265859127045
0.1545863151550293,0.93,0.7,0.45799999999999996,0.802,-0.028516415506601334
0.157578706741333,0.96,0.72,0.483,0.802,-0.03139568492770195
0.1575782299041748,0.99,0.74,0.5329999999999999,0.8029999999999999,-0.03353860229253769
0.15957331657409668,0.95,0.74,0.49200000000000005,0.802,-0.034168168902397156
0.1605696678161621,0.96,0.71,0.517,0.802,-0.038836363703012466
0.15059661865234375,0.99,0.69,0.46399999999999997,0.802,-0.04150914028286934
0.1685497760772705,0.94,0.72,0.547,0.802,-0.04267405718564987
0.15259242057800293,0.95,0.72,0.58,0.802,-0.04229129105806351
0.15558481216430664,0.93,0.7,0.642,0.799,-0.04681745544075966
0.15358972549438477,0.96,0.74,0.504,0.799,-0.05033847689628601
0.15957355499267578,0.99,0.71,0.512,0.799,-0.055997855961322784
0.16256499290466309,0.93,0.73,0.5,0.799,-0.05412208288908005
1.1758568286895752,0.95,0.81,0.129,0.799,-0.05635813623666763
0.157578706741333,0.05,0.02,0.31,0.7979999999999999,-0.057694338262081146
0.15658140182495117,0.96,0.75,0.43,0.7979999999999999,-0.06751330941915512
0.15159296989440918,0.96,0.7,0.475,0.7979999999999999,-0.06526117026805878
0.17054343223571777,0.93,0.72,0.523,0.7979999999999999,-0.07133382558822632
0.15558409690856934,0.96,0.7,0.473,0.7979999999999999,-0.08208872377872467
0.1625659465789795,0.99,0.7,0.461,0.7979999999999999,-0.0815698653459549
0.1495978832244873,0.95,0.73,0.462,0.7979999999999999,-0.08814163506031036
0.151594877243042,0.96,0.71,0.5,0.7979999999999999,-0.08633363246917725
0.15857553482055664,0.99,0.69,0.5,0.7979999999999999,-0.09130627661943436
0.1625654697418213,0.96,0.72,0.5,0.797,-0.0955599844455719
0.14760541915893555,0.96,0.7,0.478,0.797,-0.10064760595560074
0.165557861328125,0.95,0.73,0.49200000000000005,0.797,-0.09031227976083755
0.15558362007141113,0.94,0.68,0.5670000000000001,0.797,-0.09878025203943253
0.1545875072479248,0.99,0.7,0.45,0.797,-0.07823366671800613
0.1575782299041748,0.94,0.73,0.446,0.797,-0.09859538823366165
0.11170172691345215,0.98,0.73,0.479,0.797,-0.1100371927022934
0.1655573844909668,0.05,0.65,0.405,0.7979999999999999,-0.11115355789661407
0.1575784683227539,0.95,0.72,0.446,0.7979999999999999,-0.10290869325399399
0.1545848846435547,0.96,0.73,0.475,0.7979999999999999,-0.10916663706302643
0.15957236289978027,0.98,0.7,0.598,0.799,-0.12603552639484406
0.15857577323913574,0.96,0.76,0.479,0.7979999999999999,-0.12337428331375122
0.14760518074035645,0.98,0.71,0.455,0.7979999999999999,-0.13585595786571503
0.16455984115600586,0.95,0.72,0.45299999999999996,0.7979999999999999,-0.13705703616142273
0.15558433532714844,0.96,0.71,0.491,0.7979999999999999,-0.13416597247123718
0.1575789451599121,0.99,0.69,0.49200000000000005,0.797,-0.14339575171470642
0.16256499290466309,0.95,0.74,0.483,0.7979999999999999,-0.13418762385845184
0.16156840324401855,0.96,0.69,0.45799999999999996,0.7979999999999999,-0.16194206476211548
0.1625657081604004,0.93,0.7,0.45799999999999996,0.7979999999999999,-0.15191863477230072
0.14760446548461914,0.95,0.74,0.536,0.797,-0.1321374773979187
0.1515941619873047,0.99,0.72,0.45799999999999996,0.797,-0.16947397589683533
0.15259146690368652,0.95,0.74,0.446,0.797,-0.15971113741397858
0.11070418357849121,0.96,0.74,0.46399999999999997,0.797,-0.2028639316558838
0.16057157516479492,0.04,0.54,0.409,0.8079999999999999,-0.17670217156410217
0.15558409690856934,0.96,0.72,0.45799999999999996,0.8079999999999999,-0.17070117592811584
0.21642065048217773,0.99,0.68,0.632,0.8079999999999999,-0.14326156675815582
0.1655569076538086,0.93,0.75,0.49,0.8079999999999999,-0.1833941787481308
