comp,time,gpu_util,cpu_util,gpu_mem,main_mem
DATA,16.93344759941101,0.0,0.15,0.153,0.725
TRAIN,38.01156163215637,0.99,0.39,0.469,0.821
POST,0.3156759738922119,0.08,0.04,0.255,0.826
