comp,time,gpu_util,cpu_util,gpu_mem,main_mem
DATA,17.327685356140137,0.0,0.13,0.149,0.711
TRAIN,41.860114097595215,0.44,0.33,0.525,0.81
POST,0.7629609107971191,0.03,0.02,0.196,0.815
