time,val_gpu_util,val_cpu_util,val_gpu_mem,val_main_mem
0.071807861328125,0.6,0.6,0.45,0.835
0.07679414749145508,0.6,0.6,0.395,0.835
0.07579660415649414,0.6,0.6,0.306,0.835
0.07480025291442871,0.6,0.6,0.289,0.835
0.0747983455657959,0.6,0.6,0.301,0.835
0.39394545555114746,0.6,0.6,0.149,0.835
0.07080960273742676,0.73,0.73,0.475,0.838
0.07380223274230957,0.73,0.73,0.319,0.838
0.07380270957946777,0.73,0.73,0.317,0.838
0.07779216766357422,0.73,0.73,0.294,0.8370000000000001
0.07779145240783691,0.73,0.73,0.272,0.8370000000000001
0.06781888008117676,0.73,0.73,0.24600000000000002,0.8370000000000001
0.07280516624450684,0.72,0.72,0.45,0.838
0.07080984115600586,0.72,0.72,0.285,0.838
0.07679486274719238,0.72,0.72,0.307,0.838
0.07579493522644043,0.72,0.72,0.325,0.8370000000000001
0.07579565048217773,0.72,0.72,0.311,0.838
0.05884289741516113,0.72,0.72,0.266,0.8370000000000001
0.07280349731445312,0.45,0.45,0.537,0.838
0.07380199432373047,0.45,0.45,0.305,0.8390000000000001
0.0747992992401123,0.45,0.45,0.33299999999999996,0.838
0.07679414749145508,0.45,0.45,0.321,0.838
0.07779192924499512,0.45,0.45,0.349,0.838
0.06781911849975586,0.45,0.45,0.265,0.838
0.07380008697509766,0.71,0.71,0.4,0.838
0.1077110767364502,0.71,0.71,0.34299999999999997,0.8390000000000001
0.07380247116088867,0.71,0.71,0.27,0.8390000000000001
0.07579684257507324,0.71,0.71,0.289,0.838
0.07779192924499512,0.71,0.71,0.32,0.838
0.06981325149536133,0.71,0.71,0.319,0.838
