time,train_gpu_util,train_cpu_util,train_gpu_mem,train_main_mem
3.4457788467407227,0.97,0.45,0.138,0.84
0.1515941619873047,0.44,0.32,0.35,0.84
0.1575777530670166,0.98,0.66,0.45,0.84
0.14860200881958008,0.81,0.6,0.43799999999999994,0.84
0.14860129356384277,0.86,0.55,0.45,0.84
0.1575779914855957,0.92,0.67,0.535,0.84
0.1545863151550293,0.84,0.55,0.43799999999999994,0.84
0.15558385848999023,0.87,0.6,0.445,0.838
0.15658164024353027,0.97,0.68,0.467,0.8390000000000001
0.1545860767364502,0.99,0.52,0.461,0.8390000000000001
0.15658020973205566,0.78,0.59,0.47100000000000003,0.8390000000000001
0.15259075164794922,0.99,0.57,0.49200000000000005,0.838
0.1545865535736084,0.88,0.68,0.45299999999999996,0.8390000000000001
0.15358877182006836,0.99,0.53,0.523,0.838
0.1515941619873047,0.94,0.71,0.475,0.8390000000000001
1.4930047988891602,0.86,0.69,0.136,0.838
0.16455984115600586,0.04,0.02,0.317,0.843
0.14760470390319824,0.91,0.67,0.496,0.843
0.15658116340637207,0.93,0.6,0.445,0.843
0.1625652313232422,0.55,0.41,0.5,0.843
0.1605699062347412,0.85,0.56,0.445,0.843
0.15657925605773926,0.86,0.62,0.45299999999999996,0.843
0.15259146690368652,0.99,0.56,0.45799999999999996,0.843
0.15059661865234375,0.95,0.72,0.467,0.843
0.1635599136352539,0.93,0.6,0.469,0.8420000000000001
0.14760422706604004,0.85,0.65,0.45,0.8420000000000001
0.14560961723327637,0.83,0.51,0.445,0.843
0.1625657081604004,0.93,0.66,0.55,0.8420000000000001
0.157578706741333,0.73,0.47,0.449,0.8420000000000001
0.1515946388244629,0.91,0.66,0.433,0.8420000000000001
0.15358901023864746,0.79,0.51,0.39,0.8420000000000001
0.13962721824645996,0.99,0.67,0.526,0.8420000000000001
0.1795182228088379,0.72,0.49,0.366,0.843
0.15059733390808105,0.85,0.58,0.402,0.843
0.15059685707092285,0.99,0.6,0.511,0.843
0.15259075164794922,0.99,0.7,0.446,0.843
0.16057109832763672,0.99,0.53,0.46299999999999997,0.843
0.15957260131835938,0.86,0.65,0.484,0.843
0.15658140182495117,0.99,0.54,0.445,0.843
0.14760446548461914,0.9,0.66,0.442,0.843
0.16156744956970215,0.99,0.5,0.45799999999999996,0.843
0.14461302757263184,0.68,0.49,0.423,0.8420000000000001
0.16356134414672852,0.87,0.64,0.46399999999999997,0.8420000000000001
0.1495990753173828,0.85,0.57,0.442,0.843
0.1605696678161621,0.82,0.6,0.486,0.843
0.1545865535736084,0.83,0.52,0.5429999999999999,0.8420000000000001
0.15658068656921387,0.89,0.63,0.473,0.8420000000000001
0.15857577323913574,0.98,0.69,0.515,0.8420000000000001
0.16356229782104492,0.05,0.05,0.36200000000000004,0.841
0.16156697273254395,0.9,0.68,0.473,0.841
0.1575789451599121,0.87,0.56,0.562,0.841
0.15658140182495117,0.87,0.63,0.445,0.841
0.16057085990905762,0.98,0.65,0.467,0.841
0.14860129356384277,0.7,0.5,0.39,0.841
0.1466078758239746,0.81,0.51,0.444,0.841
0.15957355499267578,0.85,0.64,0.426,0.841
0.15957307815551758,0.99,0.65,0.475,0.841
0.15957331657409668,0.95,0.7,0.517,0.84
0.15358829498291016,0.79,0.55,0.486,0.84
0.15658092498779297,0.77,0.58,0.489,0.841
0.16156792640686035,0.99,0.57,0.473,0.841
0.157578706741333,0.83,0.62,0.478,0.84
0.1545853614807129,0.99,0.51,0.516,0.841
0.13464045524597168,0.99,0.72,0.5,0.84
0.15358948707580566,0.19,0.14,0.27,0.8440000000000001
0.15558290481567383,0.93,0.65,0.515,0.8440000000000001
0.14960002899169922,0.95,0.68,0.43799999999999994,0.843
0.204451322555542,0.99,0.52,0.525,0.843
0.15558290481567383,0.59,0.43,0.395,0.843
0.15558314323425293,0.95,0.68,0.45799999999999996,0.843
0.14760518074035645,0.91,0.6,0.433,0.843
0.16456007957458496,0.99,0.62,0.547,0.843
0.1575779914855957,0.75,0.53,0.456,0.8420000000000001
0.14760494232177734,0.99,0.61,0.442,0.8420000000000001
0.15857577323913574,0.84,0.57,0.426,0.8420000000000001
0.16954421997070312,0.9,0.59,0.57,0.8420000000000001
0.1575767993927002,0.81,0.59,0.47700000000000004,0.8420000000000001
0.16655445098876953,0.99,0.57,0.461,0.8420000000000001
0.16256451606750488,0.66,0.47,0.43799999999999994,0.8420000000000001
0.13463997840881348,0.99,0.65,0.619,0.841
