comp,time,gpu_util,cpu_util,gpu_mem,main_mem
DATA,17.65974497795105,0.01,0.13,0.182,0.752
TRAIN,39.99298357963562,0.99,0.37,0.562,0.856
POST,0.7250597476959229,0.03,0.02,0.18899999999999997,0.861
