comp,time,gpu_util,cpu_util,gpu_mem,main_mem
DATA,15.03754472732544,0.0,0.15,0.14400000000000002,0.723
TRAIN,23.018226146697998,0.16,0.04,0.156,0.8340000000000001
POST,7.810244798660278,0.09,0.02,0.14300000000000002,0.8370000000000001
